DT,pres,dwpt,prcp,rhum,wdir,temp,wspd
2022-01-07 14:00:00,992.7,8.4,1.8,86.0,170.0,10.6,31.7
2022-01-07 15:00:00,993.1,7.8,1.0,83.0,210.0,10.6,35.3
2022-01-07 16:00:00,998.2,5.1,0.5,80.0,240.0,8.3,38.9
2022-01-07 17:00:00,1001.6,4.0,0.9,80.0,230.0,7.2,33.5
2022-01-07 18:00:00,1004.3,4.0,0.0,80.0,230.0,7.2,33.5
2022-01-07 19:00:00,1006.9,4.0,0.1,80.0,220.0,7.2,22.3
2022-01-07 20:00:00,1008.4,3.8,0.0,76.0,250.0,7.8,22.3
2022-01-07 21:00:00,1009.3,1.7,0.0,68.0,260.0,7.2,20.5
2022-01-07 22:00:00,1010.1,2.3,0.0,71.0,250.0,7.2,20.5
2022-01-07 23:00:00,1010.9,2.2,0.0,73.0,260.0,6.7,16.6
2022-01-08 00:00:00,1011.8,1.6,0.0,73.0,240.0,6.1,11.2
2022-01-08 01:00:00,1012.7,2.2,0.0,76.0,220.0,6.1,16.6
2022-01-08 02:00:00,1013.2,2.2,0.0,79.0,190.0,5.6,13.0
2022-01-08 03:00:00,1014.0,2.2,0.0,79.0,230.0,5.6,13.0
2022-01-08 04:00:00,1015.0,2.8,0.1,82.0,230.0,5.6,14.8
2022-01-08 05:00:00,1015.8,2.9,0.1,86.0,190.0,5.0,11.2
2022-01-08 06:00:00,1016.3,2.2,0.0,82.0,220.0,5.0,7.6
2022-01-08 07:00:00,1016.8,2.3,0.0,89.0,260.0,3.9,11.2
2022-01-08 08:00:00,1017.6,2.3,0.0,86.0,190.0,4.4,13.0
2022-01-08 09:00:00,1018.3,2.9,0.0,86.0,160.0,5.0,13.0
2022-01-08 10:00:00,1019.2,2.9,0.0,86.0,0.0,5.0,0.0
2022-01-08 11:00:00,1020.1,2.9,0.0,86.0,0.0,5.0,0.0
2022-01-08 12:00:00,1020.4,2.7,0.3,89.0,250.0,4.4,7.6
2022-01-08 13:00:00,1020.5,2.9,0.0,86.0,220.0,5.0,7.6
2022-01-08 14:00:00,1021.5,3.3,0.0,89.0,220.0,5.0,11.2
2022-01-08 15:00:00,1022.0,2.9,0.0,86.0,0.0,5.0,0.0
2022-01-08 16:00:00,1022.7,2.7,0.0,89.0,0.0,4.4,0.0
2022-01-08 17:00:00,1023.9,3.3,0.0,89.0,0.0,5.0,0.0
2022-01-08 18:00:00,1024.5,3.3,0.0,82.0,0.0,6.1,0.0
2022-01-08 19:00:00,1025.1,3.8,0.0,76.0,0.0,7.8,0.0
2022-01-08 20:00:00,1024.9,3.8,0.0,76.0,0.0,7.8,0.0
2022-01-08 21:00:00,1024.3,4.3,0.0,73.0,0.0,8.9,0.0
2022-01-08 22:00:00,1024.0,4.0,0.0,69.0,0.0,9.4,0.0
2022-01-08 23:00:00,1024.2,4.0,0.0,69.0,0.0,9.4,0.0
2022-01-09 00:00:00,1024.5,3.9,0.0,74.0,360.0,8.3,5.4
2022-01-09 01:00:00,1024.6,2.8,0.0,76.0,10.0,6.7,7.6
2022-01-09 02:00:00,1024.5,2.8,0.0,82.0,340.0,5.6,9.4
2022-01-09 03:00:00,1024.5,2.3,0.0,86.0,340.0,4.4,11.2
2022-01-09 04:00:00,1024.8,2.3,0.0,89.0,340.0,3.9,11.2
2022-01-09 05:00:00,1024.8,1.7,0.0,89.0,350.0,3.3,13.0
